# 
# 06/05/2021 21:23:55
# The parameters defined in the project are:
# ,P26 - K,P76 - Mesh Relevance,P125 - celda1.x,P126 - celda1.y,P127 - volumen.x,P128 - volumen.y,P129 - H,P130 - L,P131 - Diametro,P132 - celda1.offsety,P133 - celda1.ny,P134 - celda1.offsetx,P135 - celda1.nx,P136 - celda2.x,P137 - celda2.y,P138 - celda2.offsety,P139 - celda2.ny,P140 - celda2.offsetx,P141 - celda2.nx,P142 - e,P193 - Volumenpila,P194 - Current,P195 - Rint,P199 - Flujo,P200 - ex [m],P201 - diametro [m],P202 - ey [m],P203 - k,P278 - pgen [W m^-3],P279 - massflow [kg s^-1],P280 - t_viento [C],P204 - D01 [kg m^-3],P205 - D02 [kg m^-3],P206 - D03 [kg m^-3],P207 - D04 [kg m^-3],P248 - TF01 [K],P249 - TF02 [K],P250 - TF03 [K],P251 - TF04 [K],P281 - V01 [m s^-1],P282 - V02 [m s^-1],P283 - V03 [m s^-1],P284 - V04 [m s^-1],P296 - P01 [Pa],P297 - P02 [Pa],P298 - P03 [Pa],P299 - P04 [Pa],P311 - TC01 [K],P312 - TC02 [K],P313 - TC03 [K]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P26,P76,P125,P126,P127,P128,P129,P130,P131,P132,P133,P134,P135,P136,P137,P138,P139,P140,P141,P142,P193,P194,P195,P199,P200,P201,P202,P203,P278,P279,P280,P204,P205,P206,P207,P248,P249,P250,P251,P281,P282,P283,P284,P296,P297,P298,P299,P311,P312,P313
DP 20,0.6,-50,30,25.25,4.75,148.9,148.9,215.43379946477754,20.5,32.800000000000004,3,56.811266488259179,3,58.405633244129589,41.650000000000006,32.800000000000004,2,56.811266488259179,2,15,2.1454132580905545E-05,6.122,0.032,50.75,0.03,0.0205,0.015,0.6,55901.784119084557,0.44364819191380139,13.75,1.225,1.225,1.225,1.225,287.33,287.871,288.367,288.914,5.25402,4.34238,4.14035,3.86375,29.6026,18.4266,8.1683,-0.429426,291.499,292.41,293.173
DP 21,0.6,-50,30,25.25,4.75,148.9,148.9,215.43379946477754,20.5,32.800000000000004,3,56.811266488259179,3,58.405633244129589,41.650000000000006,32.800000000000004,2,56.811266488259179,2,15,2.1454132580905545E-05,6.429,0.032,50.75,0.03,0.0205,0.015,0.6,61648.976345804527,0.44364819191380139,13.75,1.225,1.225,1.225,1.225,287.374,287.971,288.518,289.121,5.25402,4.34238,4.14035,3.86375,29.6026,18.4266,8.1683,-0.429426,291.972,292.976,293.818
DP 22,0.6,-50,30,25.25,4.75,148.9,148.9,215.43379946477754,20.5,32.800000000000004,3,56.811266488259179,3,58.405633244129589,41.650000000000006,32.800000000000004,2,56.811266488259179,2,15,2.1454132580905545E-05,6.735,0.032,50.75,0.03,0.0205,0.015,0.6,67657.230816774114,0.44364819191380139,13.75,1.225,1.225,1.225,1.225,287.42,288.075,288.675,289.337,5.25402,4.34238,4.14035,3.86375,29.6026,18.4266,8.1683,-0.429426,292.466,293.569,294.493
DP 23,0.6,-50,30,25.25,4.75,148.9,148.9,215.43379946477754,20.5,32.800000000000004,3,56.811266488259179,3,58.405633244129589,41.650000000000006,32.800000000000004,2,56.811266488259179,2,15,2.1454132580905545E-05,7.041,0.032,50.75,0.03,0.0205,0.015,0.6,73944.811612282851,0.44364819191380139,13.75,1.225,1.225,1.225,1.225,287.469,288.184,288.84,289.564,5.25402,4.34238,4.14035,3.86375,29.6026,18.4266,8.1683,-0.429426,292.984,294.188,295.198
DP 24,0.6,-50,30,25.25,4.75,148.9,148.9,215.43379946477754,20.5,32.800000000000004,3,56.811266488259179,3,58.405633244129589,41.650000000000006,32.800000000000004,2,56.811266488259179,2,15,2.1454132580905545E-05,7.347,0.032,50.75,0.03,0.0205,0.015,0.6,80511.71873233073,0.44364819191380139,13.75,1.225,1.225,1.225,1.225,287.519,288.298,289.013,289.8,5.25407,4.34132,4.13942,3.86334,29.6069,18.4323,8.17758,-0.428002,293.524,294.836,295.935
DP 25,0.6,-50,30,25.25,4.75,148.9,148.9,215.43379946477754,20.5,32.800000000000004,3,56.811266488259179,3,58.405633244129589,41.650000000000006,32.800000000000004,2,56.811266488259179,2,15,2.1454132580905545E-05,7.653,0.032,50.75,0.03,0.0205,0.015,0.6,87357.952176917766,0.44364819191380139,13.75,1.225,1.225,1.225,1.225,287.572,288.417,289.192,290.047,5.25407,4.34132,4.13942,3.86334,29.6069,18.4323,8.17758,-0.428002,294.088,295.511,296.703
DP 26,0.6,-50,30,25.25,4.75,148.9,148.9,215.43379946477754,20.5,32.800000000000004,3,56.811266488259179,3,58.405633244129589,41.650000000000006,32.800000000000004,2,56.811266488259179,2,15,2.1454132580905545E-05,7.959,0.032,50.75,0.03,0.0205,0.015,0.6,94483.511946043945,0.44364819191380139,13.75,1.225,1.225,1.225,1.225,287.627,288.541,289.379,290.304,5.25407,4.34132,4.13942,3.86334,29.6069,18.4323,8.17758,-0.428002,294.674,296.213,297.503
DP 27,0.6,-50,30,25.25,4.75,148.9,148.9,215.43379946477754,20.5,32.800000000000004,3,56.811266488259179,3,58.405633244129589,41.650000000000006,32.800000000000004,2,56.811266488259179,2,15,2.1454132580905545E-05,8.265,0.032,50.75,0.03,0.0205,0.015,0.6,101888.39803970931,0.44364819191380139,13.75,1.225,1.225,1.225,1.225,287.684,288.67,289.574,290.571,5.25407,4.34132,4.13942,3.86334,29.6069,18.4323,8.17758,-0.428002,295.283,296.943,298.334
DP 28,0.6,-50,30,25.25,4.75,148.9,148.9,215.43379946477754,20.5,32.800000000000004,3,56.811266488259179,3,58.405633244129589,41.650000000000006,32.800000000000004,2,56.811266488259179,2,15,2.1454132580905545E-05,8.571,0.032,50.75,0.03,0.0205,0.015,0.6,109572.6104579138,0.44364819191380139,13.75,1.225,1.225,1.225,1.225,287.743,288.803,289.775,290.847,5.25407,4.34132,4.13942,3.86334,29.6069,18.4323,8.17758,-0.428002,295.915,297.7,299.196
DP 29,0.6,-50,30,25.25,4.75,148.9,148.9,215.43379946477754,20.5,32.800000000000004,3,56.811266488259179,3,58.405633244129589,41.650000000000006,32.800000000000004,2,56.811266488259179,2,15,2.1454132580905545E-05,8.878,0.032,50.75,0.03,0.0205,0.015,0.6,117562.63174418872,0.44364819191380139,13.75,1.225,1.225,1.225,1.225,287.804,288.942,289.985,291.135,5.25407,4.34132,4.13942,3.86334,29.6069,18.4323,8.17758,-0.428002,296.573,298.488,300.093
DP 30,0.6,-50,30,25.25,4.75,148.9,148.9,215.43379946477754,20.5,32.800000000000004,3,56.811266488259179,3,58.405633244129589,41.650000000000006,32.800000000000004,2,56.811266488259179,2,15,2.1454132580905545E-05,9.184,0.032,50.75,0.03,0.0205,0.015,0.6,125806.40964259744,0.44364819191380139,13.75,1.225,1.225,1.225,1.225,287.868,289.085,290.201,291.432,5.25407,4.34132,4.13942,3.86334,29.6069,18.4323,8.17758,-0.428002,297.251,299.301,301.018
DP 31,0.6,-50,30,25.25,4.75,148.9,148.9,215.43379946477754,20.5,32.800000000000004,3,56.811266488259179,3,58.405633244129589,41.650000000000006,32.800000000000004,2,56.811266488259179,2,15,2.1454132580905545E-05,9.49,0.032,50.75,0.03,0.0205,0.015,0.6,134329.51386554536,0.44364819191380139,13.75,1.225,1.225,1.225,1.225,287.933,289.233,290.425,291.739,5.25407,4.34132,4.13942,3.86334,29.6069,18.4323,8.17758,-0.428002,297.952,300.141,301.974
DP 32,0.6,-50,30,25.25,4.75,148.9,148.9,215.43379946477754,20.5,32.800000000000004,3,56.811266488259179,3,58.405633244129589,41.650000000000006,32.800000000000004,2,56.811266488259179,2,15,2.1454132580905545E-05,9.796,0.032,50.75,0.03,0.0205,0.015,0.6,143131.94441303241,0.44364819191380139,13.75,1.225,1.225,1.225,1.225,288.001,289.386,290.656,292.056,5.25407,4.34132,4.13942,3.86334,29.6069,18.4323,8.17758,-0.428002,298.677,301.008,302.962
DP 33,0.6,-50,30,25.25,4.75,148.9,148.9,215.43379946477754,20.5,32.800000000000004,3,56.811266488259179,3,58.405633244129589,41.650000000000006,32.800000000000004,2,56.811266488259179,2,15,2.1454132580905545E-05,10.102,0.032,50.75,0.03,0.0205,0.015,0.6,152213.7012850586,0.44364819191380139,13.75,1.225,1.225,1.225,1.225,288.071,289.544,290.894,292.384,5.25407,4.34132,4.13942,3.86334,29.6069,18.4323,8.17758,-0.428002,299.424,301.903,303.981
DP 34,0.6,-50,30,25.25,4.75,148.9,148.9,215.43379946477754,20.5,32.800000000000004,3,56.811266488259179,3,58.405633244129589,41.650000000000006,32.800000000000004,2,56.811266488259179,2,15,2.1454132580905545E-05,10.408,0.032,50.75,0.03,0.0205,0.015,0.6,161574.78448162391,0.44364819191380139,13.75,1.225,1.225,1.225,1.225,288.143,289.706,291.14,292.721,5.25407,4.34132,4.13942,3.86334,29.6069,18.4323,8.17758,-0.428002,300.194,302.826,305.032
DP 35,0.6,-50,30,25.25,4.75,148.9,148.9,215.43379946477754,20.5,32.800000000000004,3,56.811266488259179,3,58.405633244129589,41.650000000000006,32.800000000000004,2,56.811266488259179,2,15,2.1454132580905545E-05,10.714,0.032,50.75,0.03,0.0205,0.015,0.6,171215.19400272847,0.44364819191380139,13.75,1.225,1.225,1.225,1.225,288.217,289.874,291.393,293.068,5.25407,4.34132,4.13942,3.86334,29.6069,18.4323,8.17758,-0.428002,300.987,303.776,306.114
DP 36,0.6,-50,30,25.25,4.75,148.9,148.9,215.43379946477754,20.5,32.800000000000004,3,56.811266488259179,3,58.405633244129589,41.650000000000006,32.800000000000004,2,56.811266488259179,2,15,2.1454132580905545E-05,11.02,0.032,50.75,0.03,0.0205,0.015,0.6,181134.92984837209,0.44364819191380139,13.75,1.225,1.225,1.225,1.225,288.293,290.046,291.653,293.425,5.25407,4.34132,4.13942,3.86334,29.6069,18.4323,8.17758,-0.428002,301.804,304.754,307.227
